Image_num,Area,Name,Range_x,Range_y,Nug,Level_of_Heterogeneity,Bio_rank
1,1005.827295,Man-2-11802'8_low.jpg,690,164,0.01239,8,1
2,76635.9103,Man-2-11805'10_med.jpg,446,377,0.00677,4,2
3,46986.97514,Man-2-11809_med.jpg,834,170,0.06115,5,2
4,389682.3751,Man-2-11818_low.jpg,797,131,0.025,2,1
5,14049.333,Man-2-11833_Med.jpg,839,407,0.04883,6,1
6,403.6758461,Man-2-11834'6_low.jpg,842,306,0.17362,9,1
7,3455.93893,man-2-11837_med.jpg,832,501,0.08326,7,2
8,2520745.593,Man-2-11874'4_high.jpg,839,412,0.04788,1,3
9,262629.136,man-2-11930'9_high.jpg,475,136,0.04307,3,3
10,4.395122203,Man-2-11937_high.jpg,565,399,0.23272,10,3
